Acquisition settings,Timeframe,Data Rate,Full Scale,Enabled Axes
,1 min,100 Hz,±2 g,Z
Date,Time,Acc_X [g],Acc_Y [g],Acc_Z [g],Temperature [°C],Humidity [%]
2025-09-10,10:48:19.817991,"0,000","0,000","0,957","26,00","20,19"
2025-09-10,10:48:19.818507,"0,000","0,000","0,996","26,00","20,19"
2025-09-10,10:48:19.850850,"0,000","0,000","1,014","26,00","20,19"
2025-09-10,10:48:19.850989,"0,000","0,000","0,999","26,00","20,19"
2025-09-10,10:48:19.851056,"0,000","0,000","0,963","26,00","20,19"
2025-09-10,10:48:19.880321,"0,000","0,000","0,951","26,00","20,19"
2025-09-10,10:48:19.880418,"0,000","0,000","0,979","26,00","20,19"
2025-09-10,10:48:19.880450,"0,000","0,000","1,011","26,00","20,19"
2025-09-10,10:48:19.910672,"0,000","0,000","1,015","26,00","20,19"
2025-09-10,10:48:19.910763,"0,000","0,000","0,951","26,00","20,19"
2025-09-10,10:48:19.910793,"0,000","0,000","0,964","26,00","20,19"
2025-09-10,10:48:19.941068,"0,000","0,000","0,970","26,00","20,19"
2025-09-10,10:48:19.941165,"0,000","0,000","0,924","26,00","20,19"
2025-09-10,10:48:19.941197,"0,000","0,000","0,922","26,00","20,19"
2025-09-10,10:48:19.970415,"0,000","0,000","0,999","26,00","20,19"
2025-09-10,10:48:19.970527,"0,000","0,000","0,973","26,00","20,19"
2025-09-10,10:48:19.970559,"0,000","0,000","0,953","26,00","20,19"
2025-09-10,10:48:20.002763,"0,000","0,000","0,929","26,00","20,19"
2025-09-10,10:48:20.002869,"0,000","0,000","1,004","26,00","20,19"
2025-09-10,10:48:20.002902,"0,000","0,000","1,003","26,00","20,19"
2025-09-10,10:48:20.002931,"0,000","0,000","0,951","26,00","20,19"
2025-09-10,10:48:20.031368,"0,000","0,000","0,901","26,00","20,19"
2025-09-10,10:48:20.031485,"0,000","0,000","0,963","26,00","20,19"
2025-09-10,10:48:20.062708,"0,000","0,000","0,986","26,00","20,19"
2025-09-10,10:48:20.062805,"0,000","0,000","0,992","26,00","20,19"
2025-09-10,10:48:20.062852,"0,000","0,000","0,922","26,00","20,19"
2025-09-10,10:48:20.062897,"0,000","0,000","0,998","26,00","20,19"
2025-09-10,10:48:20.094126,"0,000","0,000","0,990","26,00","20,19"
2025-09-10,10:48:20.094246,"0,000","0,000","0,978","26,00","20,19"
2025-09-10,10:48:20.094278,"0,000","0,000","0,938","26,00","20,19"
2025-09-10,10:48:20.124481,"0,000","0,000","1,005","26,00","20,19"
2025-09-10,10:48:20.124571,"0,000","0,000","0,991","26,00","20,19"
2025-09-10,10:48:20.124602,"0,000","0,000","0,979","26,00","20,19"
2025-09-10,10:48:20.154827,"0,000","0,000","0,979","26,00","20,19"
2025-09-10,10:48:20.154938,"0,000","0,000","1,012","26,00","20,19"
2025-09-10,10:48:20.154969,"0,000","0,000","1,033","26,00","20,19"
2025-09-10,10:48:20.184206,"0,000","0,000","1,015","26,00","20,19"
2025-09-10,10:48:20.184316,"0,000","0,000","0,997","26,00","20,19"
2025-09-10,10:48:20.184346,"0,000","0,000","1,029","26,00","20,19"
2025-09-10,10:48:20.214578,"0,000","0,000","1,028","26,00","20,19"
2025-09-10,10:48:20.214663,"0,000","0,000","1,012","26,00","20,19"
2025-09-10,10:48:20.214694,"0,000","0,000","0,965","26,00","20,19"
2025-09-10,10:48:20.246891,"0,000","0,000","0,995","26,00","20,19"
2025-09-10,10:48:20.246983,"0,000","0,000","1,031","26,00","20,19"
2025-09-10,10:48:20.247015,"0,000","0,000","1,002","26,00","20,19"
2025-09-10,10:48:20.276318,"0,000","0,000","1,003","26,00","20,19"
2025-09-10,10:48:20.276467,"0,000","0,000","0,989","26,00","20,19"
2025-09-10,10:48:20.276535,"0,000","0,000","1,019","26,00","20,19"
2025-09-10,10:48:20.306754,"0,000","0,000","0,992","26,00","20,19"
2025-09-10,10:48:20.306822,"0,000","0,000","0,965","26,00","20,19"
2025-09-10,10:48:20.306853,"0,000","0,000","0,990","26,00","20,19"
2025-09-10,10:48:20.337005,"0,000","0,000","1,010","26,00","20,19"
2025-09-10,10:48:20.337098,"0,000","0,000","1,007","26,00","20,19"
2025-09-10,10:48:20.337131,"0,000","0,000","0,996","26,00","20,19"
2025-09-10,10:48:20.366042,"0,000","0,000","0,982","26,00","20,19"
2025-09-10,10:48:20.366148,"0,000","0,000","1,028","26,00","20,19"
2025-09-10,10:48:20.366181,"0,000","0,000","0,980","26,00","20,19"
2025-09-10,10:48:20.397951,"0,000","0,000","0,948","26,00","20,19"
2025-09-10,10:48:20.398129,"0,000","0,000","0,952","26,00","20,19"
2025-09-10,10:48:20.398169,"0,000","0,000","0,999","26,00","20,19"
2025-09-10,10:48:20.427449,"0,000","0,000","0,976","26,00","20,19"
2025-09-10,10:48:20.427535,"0,000","0,000","0,947","26,00","20,19"
2025-09-10,10:48:20.427565,"0,000","0,000","0,974","26,00","20,19"
2025-09-10,10:48:20.458143,"0,000","0,000","1,014","26,00","20,19"
2025-09-10,10:48:20.458222,"0,000","0,000","0,994","26,00","20,19"
2025-09-10,10:48:20.458250,"0,000","0,000","0,945","26,00","20,19"
2025-09-10,10:48:20.487646,"0,000","0,000","0,988","26,00","20,19"
2025-09-10,10:48:20.487724,"0,000","0,000","1,041","26,00","20,19"
2025-09-10,10:48:20.487753,"0,000","0,000","1,005","26,00","20,19"
2025-09-10,10:48:20.518066,"0,000","0,000","0,982","26,00","20,19"
2025-09-10,10:48:20.518152,"0,000","0,000","1,004","26,00","20,19"
2025-09-10,10:48:20.518181,"0,000","0,000","1,050","26,00","20,19"
2025-09-10,10:48:20.550319,"0,000","0,000","1,027","26,00","20,19"
2025-09-10,10:48:20.550366,"0,000","0,000","0,987","26,00","20,19"
2025-09-10,10:48:20.550378,"0,000","0,000","0,986","26,00","20,19"
2025-09-10,10:48:20.580593,"0,000","0,000","1,011","26,00","20,19"
2025-09-10,10:48:20.580670,"0,000","0,000","1,024","26,00","20,19"
2025-09-10,10:48:20.580698,"0,000","0,000","0,995","26,00","20,19"
2025-09-10,10:48:20.610937,"0,000","0,000","1,013","26,00","20,19"
2025-09-10,10:48:20.611022,"0,000","0,000","1,031","26,00","20,19"
2025-09-10,10:48:20.611050,"0,000","0,000","1,044","26,00","20,19"
2025-09-10,10:48:20.640263,"0,000","0,000","0,994","26,00","20,19"
2025-09-10,10:48:20.640341,"0,000","0,000","0,991","26,00","20,19"
2025-09-10,10:48:20.640368,"0,000","0,000","1,027","26,00","20,19"
2025-09-10,10:48:20.670538,"0,000","0,000","1,006","26,00","20,19"
2025-09-10,10:48:20.670591,"0,000","0,000","0,977","26,00","20,19"
2025-09-10,10:48:20.670602,"0,000","0,000","0,960","26,00","20,19"
2025-09-10,10:48:20.702821,"0,000","0,000","1,002","26,00","20,19"
2025-09-10,10:48:20.702903,"0,000","0,000","0,994","26,00","20,19"
2025-09-10,10:48:20.702932,"0,000","0,000","0,980","26,00","20,19"
2025-09-10,10:48:20.702958,"0,000","0,000","0,971","26,00","20,19"
