y,T_c,RH_c,yhat_loeo,resid_loeo
1.0243217912435492,0,0,1.0154917495477345,-0.008830041695814694
1.0159007127465607,0,0,1.0162573021383698,0.00035658939180915894
1.0140446028850936,0,0,1.0164260393985032,0.002381436513409607
1.0164086738949125,0,0,1.016211123852156,-0.00019755004275645582
1.0304989110403753,1,1,1.017670302918066,-0.012828608122309237
1.015159893404397,1,1,1.0306494716869707,0.01548957828257369
1.0141542205067964,1,-1,1.0108758915757363,-0.0032783289310600594
1.0091613386613385,1,-1,1.0151006377526621,0.005939299091323624
1.0131927610825169,-1,1,1.0142978367934912,0.0011050757109742904
1.0129485675992629,-1,1,1.0145044620485522,0.0015558944492892746
1.0145648563361567,-1,-1,1.0157198188299947,0.0011549624938380632
1.0143747068676716,-1,-1,1.0158807145340976,0.0015060076664259459
