,sum_sq,df,F,PR(>F)
T_c,2.4128569579657636e-05,1.0,0.7415330521769256,0.43772891355707066
RH_c,4.7750930674623524e-05,1.0,1.467509014595501,0.2924096804304024
T_c:RH_c,7.901175080845923e-05,1.0,2.4282344853229705,0.19416828545956585
Residual,0.00013015505921859136,4.0,,
